exports,imports,industrial production growth rate,investment,unemployement rate,gdp
0.12649070579618138,0.024505423253626965,0.2804232804232804,0.16112084063047286,0.35158501440922185,0.02638226772811011
0.18190363680103724,0.06292112450278091,0.3756613756613757,0.19439579684763578,0.11095100864553314,0.11981375660799269
0.1463050265797359,0.08202057103212217,0.3306878306878307,0.2171628721541156,0.04034582132564841,0.021420475232485085
0.08578738920352363,0.031111297807052907,0.34391534391534395,0.16637478108581438,0.05331412103746397,0.015556538646746417
0.35329191431302576,0.1734865263872506,0.2592592592592593,0.19964973730297722,0.09221902017291066,0.087047202391601
0.28052745945816454,0.1450982039473996,0.47354497354497355,0.36252189141856395,0.04322766570605187,0.07871513574800426
0.13622994821521667,0.06634940401461016,0.3518518518518519,0.13660245183887917,0.07204610951008646,0.021718352998088646
0.19085926201394324,0.11203495490050876,0.5291005291005292,0.17513134851138357,0.05619596541786743,0.04902097791398073
0.32810421840172765,0.1711829393634918,0.22751322751322753,0.2084063047285464,0.07780979827089338,0.040927213482866834
0.3001178896113964,0.18690153317266944,0.23280423280423285,0.2574430823117338,0.08789625360230548,0.01993959719777024
0.04011370061770306,0.010121554867038989,0.5317460317460319,0.08581436077057795,0.23775216138328528,0.01233945877822796
0.030687905081119494,0.00750630606947754,0.07407407407407407,0.0,0.023054755043227664,0.00406696768775193
0.035994113019766294,0.010304486777749247,0.3650793650793651,0.3187390542907181,0.35734870317002876,0.01805020108451337
0.13824496388812052,0.06725051305625698,0.4761904761904762,0.23992994746059546,0.034582132564841495,0.01949703594601638
0.2862366705313921,0.15919073632804162,0.298941798941799,0.19439579684763578,0.1642651296829971,0.026892915326287646
0.06832392003835694,0.030576052586826597,0.2592592592592593,0.18038528896672507,0.11959654178674352,0.012850106376405494
0.020870300941471295,0.004866666350488056,0.3715944089078418,0.03327495621716288,0.4236311239193083,0.003171632232280656
0.1947773480445896,0.10512419382923238,0.5,0.3397548161120841,0.04034582132564841,0.010271336005608953
0.1063405490671429,0.04130128275920943,0.3650793650793651,0.20665499124343262,0.15706051873198845,0.12696282298247816
0.0781974968355858,0.030508300027304282,0.4841269841269842,0.15061295971978989,0.12391930835734868,0.07040009069101344
0.09840362622220496,0.054743390568437196,0.4312169312169313,0.25394045534150617,0.01296829971181556,0.04464643015625987
0.0817797469207482,0.04296122046750621,0.25132275132275134,0.20665499124343262,0.08069164265129683,0.014824610422691955
0.07777210463797277,0.030908040128485952,0.3121693121693122,0.22416812609457096,0.02593659942363112,0.005400608998325587
0.03780762712537976,0.014918436081219058,0.5238095238095238,0.18038528896672507,0.20461095100864554,0.04113147252213785
0.03804271228721854,0.011585010152721044,0.25396825396825395,0.17513134851138357,0.19985704236538154,0.010679854084150979
0.016784296938082935,0.004139003861218367,0.47089947089947093,0.2609457092819615,0.03025936599423631,0.0016405405170783537
